Pulled,Venue,Location,PdfFile,Page,PriceEUR,ItemGuess,Slug
2026-09-05,La Forêt Secrète par Jean Imbert,Disneyland Hotel,La_foret_secrete_Menu_Enfant.pdf,2,70,CHILDREN’S FOR CHILDREN,disneyland-hotel/la-foret-secrete-par-jean-imbert
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,50,Prix nets produit décongelé Nous n’acceptons pas les coupures au-delà de,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,50,Prix nets produit décongelé Nous n’acceptons pas les coupures au-delà Tax included defrosted product We do not accept no,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,4,"beetroot ketchup, rocket salad, curry-onion bread aromatisées au sel de mer Pipers sea salt potato crisps",disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,7,PAUSE GOÛTER,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,4,PAUSE GOÛTER,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,4,Magnum Amande Magnum Almond,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,4,BBrriioocchhee rroouullééee àà llaa ccaannnneellllee,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,55,,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,15,Gobelet Tumbler PPrreessssiioonn,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,17,PPrreessssiioonn avec boisson fraîche with a cold drink,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,15,cl cl Premium Mug,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,17,Premium Mug bbbblllloooonnnnddddeeee avec boisson chaude with a hot drink,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,4,with a hot drink Café au lait Coffee with milk,disney-adventure-world/cafe-luminosity
2026-09-05,Café Luminosity,Disney Adventure World,P2DR03_cafe-luminosity.pdf,1,4,Café au lait Coffee with milk Cappuccino,disney-adventure-world/cafe-luminosity
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,10,creamy chipotle sauce La Galette du Jardin,disney-adventure-world/chez-berlioz
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,4,aromatisées au sel de mer Pipers sea salt potato crisps,disney-adventure-world/chez-berlioz
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,4,MMaaggnnuumm,disney-adventure-world/chez-berlioz
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,4,MMaaggnnuumm Magnum,disney-adventure-world/chez-berlioz
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,4,MMaaggnnuumm Magnum MMaaggnnuumm,disney-adventure-world/chez-berlioz
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,4,Café Arabica Coffee Café au lait Coffee with milk,disney-adventure-world/chez-berlioz
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,4,Café au lait Coffee with milk Cappuccino,disney-adventure-world/chez-berlioz
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,50,"Thé, infusion Tea, Prix nets Nous n’acceptons pas les coupures au-delà de",disney-adventure-world/chez-berlioz
2026-09-05,Chez Berlioz,Disney Adventure World,P2DR05_chez-berlioz.pdf,1,50,Prix nets Nous n’acceptons pas les coupures au-delà Tax included We do not accept notes over,disney-adventure-world/chez-berlioz
2026-09-05,Chez Toulouse,Disney Adventure World,P2DR04_chez-toulouse.pdf,1,50,"Thé, infusion Tea, Prix nets Nous n’acceptons pas les coupures au-delà de",disney-adventure-world/chez-toulouse
2026-09-05,Chez Toulouse,Disney Adventure World,P2DR04_chez-toulouse.pdf,1,50,Prix nets Nous n’acceptons pas les coupures au-delà Tax included We do not accept notes over,disney-adventure-world/chez-toulouse
2026-09-05,Chez Toulouse,Disney Adventure World,P2DR04_chez-toulouse.pdf,1,4,sel de mer Pipers sea salt potato crisps,disney-adventure-world/chez-toulouse
2026-09-05,Chez Toulouse,Disney Adventure World,P2DR04_chez-toulouse.pdf,1,4,MMaaggnnuumm Magnum Amande,disney-adventure-world/chez-toulouse
2026-09-05,Chez Toulouse,Disney Adventure World,P2DR04_chez-toulouse.pdf,1,4,MMaaggnnuumm AAmmaannddee,disney-adventure-world/chez-toulouse
2026-09-05,Chez Toulouse,Disney Adventure World,P2DR04_chez-toulouse.pdf,1,4,Café Arabica Coffee Café au lait Coffee with milk,disney-adventure-world/chez-toulouse
2026-09-05,Chez Toulouse,Disney Adventure World,P2DR04_chez-toulouse.pdf,1,4,Café au lait Coffee with milk Cappuccino,disney-adventure-world/chez-toulouse
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,14,Le Le Nørdik Nørdik,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,6,Boissons gourmandes,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,14,Le Le Nørdik Nørdik,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,4,"red beans, aromatisées au sel de mer Pipers sea salt potato crisps",disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,9,PAUSE GOÛTER,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,4,PAUSE GOÛTER SWEET BREAK,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,4,Magnum Amande Magnum Almond,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,4,Viennoiserie cacao et noisette Cocoa and hazelnut pastry,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,5,drinks Premium,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,4,Café Arabica Coffee Café au lait Coffee with milk,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,15,"coffee latte, popcorn-flavour syrup, Gobelet Tumbler",disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,4,Café au lait Coffee with milk Cappuccino,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,17,"cream, caramel sauce avec boisson fraîche with a cold drink",disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,15,popcorn Mug,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,17,Mug avec boisson chaude with a hot drink,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,50,Prix nets produit décongelé Nous n’acceptons pas les coupures au-delà de,disney-adventure-world/la-terrasse-panoramique
2026-09-05,La Terrasse Panoramique,Disney Adventure World,P2DR02_la-terrasse-panoramique.pdf,1,50,Prix nets produit décongelé Nous n’acceptons pas les coupures au-delà Tax included defrosted product We do not accept no,disney-adventure-world/la-terrasse-panoramique
2026-09-05,PYM Kitchen,Disney Adventure World,P2AR02_pym.pdf,1,45,ADULTE ADULT,disney-adventure-world/pym-kitchen
2026-09-05,PYM Kitchen,Disney Adventure World,P2AR02_pym.pdf,1,25,cl) ENFANT KIDS’,disney-adventure-world/pym-kitchen
2026-09-05,PYM Kitchen,Disney Adventure World,P2AR02_pym.pdf,1,9,Dry Blue Chardonnay Bleu pétillant Santa Margarita Chardonnay,disney-adventure-world/pym-kitchen
2026-09-05,PYM Kitchen,Disney Adventure World,P2AR02_pym.pdf,1,5,FuzeTea Pêche Intense I Peach Black Tea d’orange ou de pomme I Orange or apple juice,disney-adventure-world/pym-kitchen
2026-09-05,PYM Kitchen,Disney Adventure World,P2AR02_pym.pdf,1,25,DON’T FORGET TO ORDER YOUR BIRTHDAY DESSERT Dessert à partir de personnes,disney-adventure-world/pym-kitchen
2026-09-05,PYM Kitchen,Disney Adventure World,P2AR02_pym.pdf,1,45,DON’T FORGET TO ORDER YOUR BIRTHDAY DESSERT BEFORE YOUR MEAL! Dessert à partir de personnes personnes,disney-adventure-world/pym-kitchen
2026-09-05,Searchlight,Disney Adventure World,P2FR02_searchlight.pdf,1,8,SWEET,disney-adventure-world/searchlight
2026-09-05,Searchlight,Disney Adventure World,P2FR02_searchlight.pdf,1,4,Arabica Coffee Coffee with milk,disney-adventure-world/searchlight
2026-09-05,Searchlight,Disney Adventure World,P2FR02_searchlight.pdf,1,4,Arabica Coffee Coffee with milk,disney-adventure-world/searchlight
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,20,ET/AND OU/OR BURGER SUPERSTAR,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,19,ET/AND BURGER LA PREMIÈRE,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,15,ET/AND SUNSET,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,19,"lemon dressing, caramelised red onions and tartar-curry sauce",disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,15,BOULEVARD BURGER CÉSAR D’HONNEUR,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,17,piquillo sauce DITES CHEEEESE BURGER,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,19,Menu disponible sans dessert Available without dessert,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,18,dessert MENU NUGGETS,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,1,22,MENU,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,2,10,and vegetables and is low in saturated fats. MENU P’TITES VEDETTES,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,2,10,MENU DISNEY CHECK,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,The Hollywood Gardens Restaurant,Disney Adventure World,P2FR00_the-hollywood-gardens-restaurant.pdf,2,7,pieces PAUSE GOÛTER SWEET BREAK,disney-adventure-world/the-hollywood-gardens-restaurant
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,11,SUPERPOWERS!,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,4,,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,8,,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,4,DRINKS CAPPUCCINO,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,4,ARABICA COFFEE AU LAIT COFFEE WITH MILK,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,50,"MILK THÉ, INFUSION NETS NOUS N’ACCEPTONS PAS LES COUPURES AUDELÀ DE",disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,50,PRIX NETS NOUS N’ACCEPTONS PAS LES COUPURES AUDELÀ TAX INCLUDED WE DO NOT ACCEPT NOTES OVER,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,7,PAUSE GOÛTER,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,5,FRAISE,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,6,cl cl,disney-adventure-world/web-food-truck
2026-09-05,WEB Food Truck,Disney Adventure World,P2BR02_web-truck.pdf,1,5,,disney-adventure-world/web-food-truck
2026-09-05,Billy Bob’s Buffet,Disney Village,D01R19_billy-bobs-buffet.pdf,1,40,,disney-village/billy-bobs-buffet
2026-09-05,Billy Bob’s Buffet,Disney Village,D01R19_billy-bobs-buffet.pdf,1,22,ou Lait cl Milk cl,disney-village/billy-bobs-buffet
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,10,"Extra Dry, tranche d'orange et Perrier® Espresso Martini",disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,10,orange slice and Perrier® Long Island Ice Tea,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,6,Guinness Stout Brooklyn IPA,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,9,Guinness Stout Brooklyn IPA,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,10,Brooklyn IPA Premium cl Chips Lay’s®,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,7,BOUTEILLE BOTTLE Grimbergen d’Abbaye blanche,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,7,Grimbergen d’Abbaye blanche Grimbergen d’Abbaye rouge,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,77,Disneyland® Paris Pierre Champagnes Mignon Grande Réserve brut,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,7,Heineken Gallia Nouveau Western West coast IPA,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,6,Gallia Nouveau Western West coast IPA Brooklyn Special Effects (Sans alcool Non-Alcoholic),disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,77,Sparkling Impérial- brut,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,7,CIDRE CIDER La Mordue Original Cidre aromatisé Flavoured cider,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,3,30,Italie DOC Prosecco Extra Dry,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,4,9,RHUMS CACHAÇA Honey (liqueur) RUMS CACHACA cl Jack Daniel’s Old No.,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,4,Espresso Arabica Double espresso Arabica,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,6,BIÈRE SANS ALCOOL NON-ALCOHOLIC BEER Brooklyn Special Effects,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,5,cl Coca-Cola ORIGINAL,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,5,Coca-Cola ORIGINAL C o c a C o la ZÉ R O S U C R E S,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,5,C o c a C o la ZÉ R O S U C R E S Fa n t a O ra n g e S A N S S U C R E S,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,5,Fa n t a O ra n g e S A N S S U C R E S Sprite SANS SUCRES,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,5,Sprite SANS SUCRES TROPICO Original,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,5,TROPICO Original FuzeTea Pêche Intense,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,4,Tonic cl................................................................................................................,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,6,Disponible selon la saison Parfum pomme ou fraise,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,5,4,Vittel® S.Pellegrino,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,6,SUR LE POUCE QUICK BITES Doritos® avec sauce salsa ou sauce au cheddar fondu,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,6,Garnitures Doritos® et sauce salsa ou sauce au cheddar fondu ou Chips Lay’s® ou salade fraîcheur,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,11,"Burritos au chili con carne, oignons, poivrons, crème aigre et cheddar épicé",disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,14,and spicy cheddar Travers de porc,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,4,Desserts Salade de fruits Fruit salad,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,5,Salade de fruits Fruit salad Mousse aux deux chocolats et madeleine,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,11,Pork ribs Manchons de poulet et sauce barbecue,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,5,Two-chocolate mousse and madeleine Brownie sauce chocolat et crème fouettée2,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,10,Chicken drumsticks and barbecue sauce Bouchées de poulet croustillantes,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,7,Brownie with chocolate sauce and whipped cream2 Crème glacée Chocolat,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,7,Chocolate ice cream Sorbet Mangue ou Fraise,disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,9,"with tomato sauce, Tex Mex chicken fillet, onions and peppers, pièces pieces",disney-village/billy-bobs-country-western-saloon
2026-09-05,Billy Bob's Country Western Saloon,Disney Village,D01R01_billy-bobs-country-western-saloon.pdf,6,12,"spicy cheddar sauce, guacamole, pièces pieces",disney-village/billy-bobs-country-western-saloon
2026-09-05,La Grange [at Billy Bob's Country Western Saloon],Disney Village,D01R02_la-grange-at-billy-bobs-country-western-saloon.pdf,1,40,cl,disney-village/la-grange-at-billy-bobs-country-western-saloon
2026-09-05,La Grange [at Billy Bob's Country Western Saloon],Disney Village,D01R02_la-grange-at-billy-bobs-country-western-saloon.pdf,1,22,ou Lait,disney-village/la-grange-at-billy-bobs-country-western-saloon
